관측일시,수위,유입량,방류량,강우량
2002-01-01 01:00:00,63.33,41.7,112.9,0.1
2002-01-01 02:00:00,63.3,40.6,0.0,0.1
2002-01-01 03:00:00,63.31,51.3,0.0,0.1
2002-01-01 04:00:00,63.31,51.3,0.0,0.0
2002-01-01 05:00:00,63.31,52.4,0.0,0.1
2002-01-01 06:00:00,63.31,41.7,0.0,0.0
2002-01-01 07:00:00,63.32,52.4,0.0,0.0
2002-01-01 08:00:00,63.32,53.5,0.0,0.0
2002-01-01 09:00:00,63.31,53.5,0.0,0.0
2002-01-01 10:00:00,63.32,53.5,0.0,0.0
2002-01-01 11:00:00,63.32,31.5,0.0,0.0
2002-01-01 12:00:00,63.32,32.7,0.0,0.0
2002-01-01 13:00:00,63.31,20.9,0.0,0.0
2002-01-01 14:00:00,63.31,20.9,0.0,0.0
2002-01-01 15:00:00,63.32,31.5,0.0,0.0
2002-01-01 16:00:00,63.32,31.5,0.0,0.0
2002-01-01 17:00:00,63.32,20.9,0.0,0.0
2002-01-01 18:00:00,63.32,20.9,0.0,0.0
2002-01-01 19:00:00,63.32,20.9,0.0,0.0
2002-01-01 20:00:00,63.32,20.9,0.0,0.0
2002-01-01 21:00:00,63.32,20.9,0.0,0.0
2002-01-01 22:00:00,63.32,20.9,0.0,0.0
2002-01-01 23:00:00,63.31,27.3,53.1,0.0
2002-01-02 01:00:00,63.3,15.9,110.4,0.0
2002-01-02 02:00:00,63.31,26.5,0.0,0.0
2002-01-02 03:00:00,63.3,25.4,0.0,0.0
2002-01-02 04:00:00,63.29,24.3,0.0,0.0
2002-01-02 05:00:00,63.29,35.0,0.0,0.0
2002-01-02 06:00:00,63.3,35.0,0.0,0.0
2002-01-02 07:00:00,63.29,33.8,0.0,0.0
2002-01-02 08:00:00,63.29,33.8,0.0,0.0
2002-01-02 09:00:00,63.3,39.2,0.0,0.0
2002-01-02 10:00:00,63.3,40.3,0.0,0.0
2002-01-02 11:00:00,63.3,40.0,0.0,0.0
